Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007
"295101257002","15000US295101257002","Block Group 2, Census Tract 1257, St. Louis city, Missouri","Block Group 2, Census Tract 1257, St. Louis city, Missouri","mo","150","00","ACSSF","0010196",,,,,"29","510",,,,"125700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,277,0,277,199,78,520
"295101257003","15000US295101257003","Block Group 3, Census Tract 1257, St. Louis city, Missouri","Block Group 3, Census Tract 1257, St. Louis city, Missouri","mo","150","00","ACSSF","0010197",,,,,"29","510",,,,"125700","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,169,0,169,134,35,124
"295101266001","15000US295101266001","Block Group 1, Census Tract 1266, St. Louis city, Missouri","Block Group 1, Census Tract 1266, St. Louis city, Missouri","mo","150","00","ACSSF","0010198",,,,,"29","510",,,,"126600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,325,0,325,317,8,246
"295101266002","15000US295101266002","Block Group 2, Census Tract 1266, St. Louis city, Missouri","Block Group 2, Census Tract 1266, St. Louis city, Missouri","mo","150","00","ACSSF","0010199",,,,,"29","510",,,,"126600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,674,0,674,500,174,685
"295101266003","15000US295101266003","Block Group 3, Census Tract 1266, St. Louis city, Missouri","Block Group 3, Census Tract 1266, St. Louis city, Missouri","mo","150","00","ACSSF","0010200",,,,,"29","510",,,,"126600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,415,0,415,331,84,268
"295101267001","15000US295101267001","Block Group 1, Census Tract 1267, St. Louis city, Missouri","Block Group 1, Census Tract 1267, St. Louis city, Missouri","mo","150","00","ACSSF","0010201",,,,,"29","510",,,,"126700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,354,0,354,302,52,261
"295101267002","15000US295101267002","Block Group 2, Census Tract 1267, St. Louis city, Missouri","Block Group 2, Census Tract 1267, St. Louis city, Missouri","mo","150","00","ACSSF","0010202",,,,,"29","510",,,,"126700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,195,0,195,168,27,224
"295101268001","15000US295101268001","Block Group 1, Census Tract 1268, St. Louis city, Missouri","Block Group 1, Census Tract 1268, St. Louis city, Missouri","mo","150","00","ACSSF","0010203",,,,,"29","510",,,,"126800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,521,0,521,512,9,179
"295101268002","15000US295101268002","Block Group 2, Census Tract 1268, St. Louis city, Missouri","Block Group 2, Census Tract 1268, St. Louis city, Missouri","mo","150","00","ACSSF","0010204",,,,,"29","510",,,,"126800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,667,0,667,650,17,267
"295101268003","15000US295101268003","Block Group 3, Census Tract 1268, St. Louis city, Missouri","Block Group 3, Census Tract 1268, St. Louis city, Missouri","mo","150","00","ACSSF","0010205",,,,,"29","510",,,,"126800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,614,0,614,605,9,183
